season,league_name,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
41,2011/2012,Scotland Premier League,58.54545454545455,50.90909090909091,57.54545454545455,50.90909090909091,55.18181818181818,53.45454545454545,44.63636363636363,44.90909090909091,53.09090909090909
42,2011/2012,Spain LIGA BBVA,46.35,48.9,43.4,55.2,55.75,50.6,49.4,49.3,56.5
43,2011/2012,Switzerland Super League,55.5,56.25,47.75,54.5,52.75,54.625,45.0,45.875,52.25
44,2012/2013,Belgium Jupiler League,52.86666666666667,47.0,48.06666666666667,47.666666666666664,54.266666666666666,47.2,45.86666666666667,48.93333333333333,52.13333333333333
45,2012/2013,England Premier League,55.65,35.95,49.4,48.35,54.15,51.55,46.6,46.05,50.55
46,2012/2013,France Ligue 1,53.35,57.3,48.4,52.1,54.25,55.45,45.2,46.15,50.95
47,2012/2013,Germany Bundesliga 1,54.44444444444444,52.27777777777778,48.22222222222222,50.77777777777778,47.666666666666664,49.55555555555556,49.833333333333336,51.666666666666664,48.888888888888886
48,2012/2013,Italy Serie A,58.3,57.0,47.1,58.95,57.5,57.65,40.8,54.9,49.15
49,2012/2013,Netherlands Eredivisie,50.705882352941174,42.8235294117647,45.8235294117647,52.8235294117647,52.11764705882353,49.11764705882353,47.294117647058826,48.529411764705884,51.23529411764706
50,2012/2013,Poland Ekstraklasa,55.57142857142857,52.42857142857143,48.07142857142857,53.785714285714285,52.142857142857146,54.142857142857146,43.857142857142854,47.0,52.42857142857143
51,2012/2013,Portugal Liga ZON Sagres,53.6,53.13333333333333,47.333333333333336,54.2,55.266666666666666,51.2,42.4,45.4,54.733333333333334
52,2012/2013,Scotland Premier League,56.666666666666664,50.666666666666664,55.833333333333336,49.833333333333336,53.666666666666664,52.583333333333336,44.333333333333336,45.083333333333336,51.5
53,2012/2013,Spain LIGA BBVA,47.65,49.45,45.25,54.75,56.6,50.9,49.4,49.0,58.3
54,2012/2013,Switzerland Super League,55.111111111111114,55.111111111111114,47.77777777777778,52.77777777777778,51.22222222222222,52.666666666666664,44.44444444444444,45.333333333333336,52.22222222222222
55,2013/2014,Belgium Jupiler League,52.25,48.25,47.0,39.5,47.5,46.75,40.0,48.0,49.0
56,2013/2014,England Premier League,57.15,36.05,49.25,48.2,55.15,51.2,43.45,44.0,49.7
57,2013/2014,France Ligue 1,54.4,59.05,47.9,51.55,53.55,53.2,44.95,46.65,51.0
